iter	Passed	Remaining
823	13687	2923
824	13704	2907
825	13725	2891
826	13745	2875
827	13762	2858
828	13780	2842
829	13799	2826
830	13815	2809
831	13833	2793
832	13852	2777
833	13869	2760
834	13888	2744
835	13904	2727
836	13920	2710
837	13937	2694
838	13954	2677
839	13970	2661
840	13986	2644
841	14003	2627
842	14020	2611
843	14037	2594
844	14053	2577
845	14070	2561
846	14086	2544
847	14103	2528
848	14121	2511
849	14144	2496
850	14165	2480
851	14186	2464
852	14207	2448
853	14228	2432
854	14249	2416
855	14267	2400
856	14295	2385
857	14318	2369
858	14337	2353
859	14358	2337
860	14378	2321
861	14398	2305
862	14418	2288
863	14438	2272
864	14454	2255
865	14472	2239
866	14489	2222
867	14505	2205
868	14522	2189
869	14540	2172
870	14557	2156
871	14575	2139
872	14592	2122
873	14610	2106
874	14627	2089
875	14645	2073
876	14667	2057
877	14689	2041
878	14708	2024
879	14726	2008
880	14743	1991
881	14759	1974
882	14776	1957
883	14796	1941
884	14817	1925
885	14835	1908
886	14854	1892
887	14871	1875
888	14887	1858
889	14904	1842
890	14922	1825
891	14942	1809
892	14962	1792
893	14983	1776
894	15002	1760
895	15021	1743
896	15037	1726
897	15054	1709
898	15072	1693
899	15091	1676
900	15108	1660
901	15128	1643
902	15146	1626
903	15162	1610
904	15179	1593
905	15195	1576
906	15216	1560
907	15233	1543
908	15251	1526
909	15268	1510
910	15285	1493
911	15301	1476
912	15319	1459
913	15335	1442
914	15353	1426
915	15375	1409
916	15391	1393
917	15408	1376
918	15425	1359
919	15441	1342
920	15457	1325
921	15474	1309
922	15492	1292
923	15513	1276
924	15534	1259
925	15552	1242
926	15571	1226
927	15591	1209
928	15618	1193
929	15643	1177
930	15669	1161
931	15686	1144
932	15704	1127
933	15727	1111
934	15748	1094
935	15765	1078
936	15782	1061
937	15799	1044
938	15816	1027
939	15833	1010
940	15852	993
941	15868	977
942	15884	960
943	15901	943
944	15916	926
945	15933	909
946	15950	892
947	15967	875
948	15983	858
949	15999	842
950	16016	825
951	16032	808
952	16049	791
953	16069	774
954	16087	758
955	16104	741
956	16122	724
957	16138	707
958	16155	690
959	16173	673
960	16191	657
961	16208	640
962	16224	623
963	16241	606
964	16259	589
965	16275	572
966	16293	556
967	16312	539
968	16329	522
969	16350	505
970	16367	488
971	16384	471
972	16400	455
973	16417	438
974	16433	421
975	16449	404
976	16465	387
977	16482	370
978	16498	353
979	16515	337
980	16532	320
981	16550	303
982	16568	286
983	16586	269
984	16603	252
985	16619	235
986	16636	219
987	16653	202
988	16669	185
989	16687	168
990	16704	151
991	16721	134
992	16737	117
993	16754	101
994	16772	84
995	16788	67
996	16805	50
997	16822	33
998	16840	16
999	16859	0
